license_id,user_principal_name,display_name,employee_id,license_type,status,provisioned_date,last_login_date,days_since_last_login,mfa_enrolled,mobile_enrolled,notes
ARC-LIC-10024,samuel.novak@vandelay.example,Samuel Novak,VL-1029,Standard,Active,2026-03-09,2026-06-25,75,Yes,Yes,
ARC-LIC-10116,rohan.ocampo@vandelay.example,Rohan Ocampo,VL-1075,Standard,Active,2025-11-28,2026-09-07,1,Yes,Yes,
ARC-LIC-10211,ignacio.nwosu@vandelay.example,Ignacio Nwosu,VL-1197,Standard,Active,2022-08-23,2026-09-05,3,Yes,Yes,
ARC-LIC-10022,bram.ghosh@vandelay.example,Bram Ghosh,VL-1027,Standard,Active,2024-01-25,2026-07-27,43,Yes,Yes,
ARC-LIC-10179,owen.karlsson@vandelay.example,Owen Karlsson,VL-1118,Standard,Active,2026-01-18,2026-08-18,21,Yes,No,
ARC-LIC-10107,wei.goh@vandelay.example,Wei Goh,VL-1066,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10159,iris.chowdhury@vandelay.example,Iris Chowdhury,VL-1185,Standard,Active,2020-04-04,2026-09-02,6,Yes,Yes,
ARC-LIC-10029,victor.kessler@vandelay.example,Victor Kessler,VL-1034,Standard,Active,2026-01-11,2026-08-31,8,Yes,No,
ARC-LIC-10231,harriet.landry@vandelay.example,Harriet Landry,VL-0834,Standard,Active,2021-08-06,2025-03-29,528,Yes,Yes,
ARC-LIC-10050,miles.adeyemi@vandelay.example,Miles Adeyemi,VL-1173,Standard,Active,2018-03-01,2026-08-31,8,Yes,Yes,
ARC-LIC-10121,emmett.whitfield@vandelay.example,Emmett Whitfield,VL-1080,Standard,Active,2018-03-01,2026-09-06,2,Yes,Yes,
ARC-LIC-10141,esme.ferreira@vandelay.example,Esme Ferreira,VL-1092,Standard,Active,2024-11-01,2026-07-23,47,Yes,No,
ARC-LIC-10009,hao.krishnan@vandelay.example,Hao Krishnan,VL-1014,Standard,Active,2019-06-05,2026-09-08,0,Yes,No,
ARC-LIC-10158,jonah.rutherford@vandelay.example,Jonah Rutherford,VL-1104,Standard,Active,2024-11-20,2026-09-04,4,Yes,No,
ARC-LIC-10042,marcus.navarro@vandelay.example,Marcus Navarro,VL-1165,Standard,Active,2019-10-22,2026-07-11,59,Yes,No,
ARC-LIC-10178,anaya.bassett@vandelay.example,Anaya Bassett,VL-1117,Standard,Active,2023-01-12,2026-07-14,56,Yes,Yes,
ARC-LIC-10091,ada.obi@vandelay.example,Ada Obi,VL-1144,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10004,aisha.villanueva@vandelay.example,Aisha Villanueva,VL-1002,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10119,farah.mireille@vandelay.example,Farah Mireille,VL-1078,Standard,Active,2025-09-11,2026-09-07,1,Yes,No,
ARC-LIC-10125,victor.sorensen@vandelay.example,Victor Sorensen,VL-1188,Standard,Active,2026-05-16,2026-09-08,0,Yes,No,
ARC-LIC-10067,omar.salazar@vandelay.example,Omar Salazar,VL-1050,Standard,Active,2023-09-05,2026-09-05,3,Yes,Yes,
ARC-LIC-10021,kwame.duarte@vandelay.example,Kwame Duarte,VL-1026,Standard,Active,2022-07-28,2026-09-06,2,Yes,No,
ARC-LIC-10138,marcus.villanueva@vandelay.example,Marcus Villanueva,VL-1089,Standard,Active,2018-03-01,2026-09-02,6,Yes,Yes,
ARC-LIC-10033,nia.rutherford@vandelay.example,Nia Rutherford,VL-1038,Standard,Active,2023-02-13,2026-09-08,0,Yes,No,
ARC-LIC-10238,rupert.ostrowski@vandelay.example,Rupert Ostrowski,VL-0851,Standard,Active,2023-01-14,2025-02-15,570,Yes,No,
ARC-LIC-10052,kavya.alvarado@vandelay.example,Kavya Alvarado,VL-1175,Standard,Active,2019-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10155,emmett.kessler@vandelay.example,Emmett Kessler,VL-1101,Standard,Active,2023-09-17,2026-08-31,8,Yes,Yes,
ARC-LIC-10109,mariana.sanchez@vandelay.example,Mariana Sanchez,VL-1068,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10071,felix.yamamoto@vandelay.example,Felix Yamamoto,VL-1054,Standard,Active,2025-12-23,2026-08-14,25,Yes,No,
ARC-LIC-10230,greta.rowe@vandelay.example,Greta Rowe,VL-1226,Standard,Active,2022-11-04,2026-07-08,62,Yes,Yes,
ARC-LIC-10224,leo.salazar@vandelay.example,Leo Salazar,VL-1210,Standard,Active,2024-03-18,2026-08-01,38,Yes,No,
ARC-LIC-10198,rosa.kowalczyk@vandelay.example,Rosa Kowalczyk,VL-1132,Standard,Active,2024-05-10,2026-07-24,46,Yes,No,
ARC-LIC-10240,colette.marchand@vandelay.example,Colette Marchand,VL-0856,Standard,Active,2020-06-29,2025-08-26,378,Yes,No,
ARC-LIC-10167,poppy.whitmore@vandelay.example,Poppy Whitmore,VL-1108,Standard,Active,2022-11-14,2026-09-07,1,Yes,No,
ARC-LIC-10064,caleb.espinoza@vandelay.example,Caleb Espinoza,VL-1047,Standard,Active,2025-07-16,2026-09-08,0,Yes,No,
ARC-LIC-10143,oliver.holloway@vandelay.example,Oliver Holloway,VL-1155,Standard,Active,2023-09-11,2026-09-07,1,Yes,Yes,
ARC-LIC-10080,miles.lucero@vandelay.example,Miles Lucero,VL-1063,Standard,Active,2018-03-01,2026-08-31,8,Yes,No,
ARC-LIC-10060,idris.kessler@vandelay.example,Idris Kessler,VL-1043,Standard,Active,2018-03-01,2026-07-07,63,Yes,Yes,
ARC-LIC-10036,yara.oduya@vandelay.example,Yara Oduya,VL-1150,Standard,Active,2023-09-23,2026-09-07,1,Yes,Yes,
ARC-LIC-10065,emmett.gallagher@vandelay.example,Emmett Gallagher,VL-1048,Standard,Active,2019-05-28,2026-08-31,8,Yes,No,
ARC-LIC-10140,dalia.lindgren@vandelay.example,Dalia Lindgren,VL-1091,Standard,Active,2024-03-16,2026-07-14,56,Yes,Yes,
ARC-LIC-10016,reuben.kowalczyk@vandelay.example,Reuben Kowalczyk,VL-1021,Standard,Active,2023-04-18,2026-06-27,73,Yes,No,
ARC-LIC-10023,renata.iyer@vandelay.example,Renata Iyer,VL-1028,Standard,Active,2023-10-15,2026-07-07,63,Yes,No,
ARC-LIC-10075,lina.zielinski@vandelay.example,Lina Zielinski,VL-1058,Standard,Active,2024-11-22,2026-09-07,1,Yes,Yes,
ARC-LIC-10101,lucia.kapoor@vandelay.example,Lucia Kapoor,VL-1183,Standard,Active,2024-03-18,2026-09-07,1,Yes,Yes,
ARC-LIC-10227,ingrid.sorensen@vandelay.example,Ingrid Sorensen,VL-1213,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10025,camille.diallo@vandelay.example,Camille Diallo,VL-1030,Standard,Active,2018-03-01,2026-09-07,1,Yes,Yes,
ARC-LIC-10161,simon.espinoza@vandelay.example,Simon Espinoza,VL-1187,Standard,Active,2018-03-01,2026-09-05,3,Yes,Yes,
ARC-LIC-10115,henry.alvarado@vandelay.example,Henry Alvarado,VL-1074,Standard,Active,2018-03-01,2026-09-07,1,Yes,No,
ARC-LIC-10006,george.byrne@vandelay.example,George Byrne,VL-1011,Standard,Active,2026-01-02,2026-08-31,8,Yes,No,
ARC-LIC-10142,daniel.quinlan@vandelay.example,Daniel Quinlan,VL-1093,Standard,Active,2018-03-01,2026-09-08,0,Yes,Yes,
ARC-LIC-10168,amelia.ashcroft@vandelay.example,Amelia Ashcroft,VL-1109,Standard,Active,2022-12-26,2026-09-08,0,Yes,No,
ARC-LIC-10130,ezra.baptiste@vandelay.example,Ezra Baptiste,VL-1081,Standard,Active,2026-01-08,2026-07-04,66,Yes,Yes,
ARC-LIC-10149,andre.pereira@vandelay.example,Andre Pereira,VL-1095,Standard,Active,2024-06-11,2026-09-07,1,No,No,
ARC-LIC-10218,tariq.karlsson@vandelay.example,Tariq Karlsson,VL-1204,Standard,Active,2023-02-16,2026-08-31,8,Yes,No,
ARC-LIC-10172,dalia.achebe@vandelay.example,Dalia Achebe,VL-1113,Standard,Active,2026-02-20,2026-09-07,1,Yes,No,
