session_id,session_name,session_date,employee_id,email,status,completion_recorded
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1010,solveig.ramanathan@vandelay.example,Attended,2024-04-05
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1024,selin.nakamura@vandelay.example,Attended,2024-04-06
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1030,camille.diallo@vandelay.example,Attended,2024-04-03
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1172,owen.nwosu@vandelay.example,Attended,2024-04-05
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1230,daniel.carvalho@vandelay.example,Attended,2024-04-03
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1050,omar.salazar@vandelay.example,Attended,2024-04-06
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1140,nadia.aguilar@vandelay.example,Attended,2024-04-03
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1105,niamh.thornbury@vandelay.example,Attended,2024-04-05
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1107,grace.nolan@vandelay.example,Attended,2024-04-05
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1109,amelia.ashcroft@vandelay.example,Attended,2024-04-06
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1192,tobias.pellegrini@vandelay.example,Registered - No show,
A9E-01,Archstone 9 Essentials (Relaunch),2024-04-03,VL-1207,marcus.larsson@vandelay.example,Attended,2024-04-05
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1001,simon.rasmussen@vandelay.example,Attended,2024-04-05
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1017,lorenzo.alvarado@vandelay.example,Attended,2024-04-06
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1173,miles.adeyemi@vandelay.example,Attended,2024-04-06
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1175,kavya.alvarado@vandelay.example,Attended,2024-04-07
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1136,ada.paredes@vandelay.example,Attended,2024-04-08
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1142,alina.fontaine@vandelay.example,Attended,2024-04-06
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1228,anaya.petrov@vandelay.example,Attended,2024-04-06
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1072,chloe.okafor@vandelay.example,Attended,2024-04-06
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1163,bram.moreau@vandelay.example,Attended,2024-04-05
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1224,della.moreau@vandelay.example,Attended,2024-04-08
A9E-02,Archstone 9 Essentials (Relaunch),2024-04-05,VL-1009,malik.blackwood@vandelay.example,Attended,2024-04-06
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1021,reuben.kowalczyk@vandelay.example,Registered - No show,
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1150,yara.oduya@vandelay.example,Attended,2024-04-12
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1148,nathan.sorensen@vandelay.example,Attended,2024-04-11
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1219,reuben.rutherford@vandelay.example,Attended,2024-04-11
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1089,marcus.villanueva@vandelay.example,Registered - No show,
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1155,oliver.holloway@vandelay.example,Attended,2024-04-12
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1098,ines.okonkwo@vandelay.example,Attended,2024-04-10
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1129,dalia.nordin@vandelay.example,Registered - No show,
A9E-03,Archstone 9 Essentials (Relaunch),2024-04-09,VL-1197,ignacio.nwosu@vandelay.example,Attended,2024-04-11
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1002,aisha.villanueva@vandelay.example,Attended,2024-04-11
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1168,benedict.fairbanks@vandelay.example,Attended,2024-04-14
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1056,tessa.voss@vandelay.example,Attended,2024-04-12
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1073,chloe.bassett@vandelay.example,Registered - No show,
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1158,anaya.salazar@vandelay.example,Attended,2024-04-13
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1187,simon.espinoza@vandelay.example,Attended,2024-04-11
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1007,esme.marchetti@vandelay.example,Registered - No show,
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1111,grace.pemberton@vandelay.example,Registered - No show,
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1114,marcel.lucero@vandelay.example,Attended,2024-04-14
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1201,sofia.pellegrini@vandelay.example,Attended,2024-04-12
A9E-04,Archstone 9 Essentials (Relaunch),2024-04-11,VL-1202,lorenzo.fontaine@vandelay.example,Attended,2024-04-11
A9E-05,Archstone 9 Essentials (Relaunch),2024-04-16,VL-1169,marcel.obi@vandelay.example,Attended,2024-04-16
A9E-05,Archstone 9 Essentials (Relaunch),2024-04-16,VL-1160,hana.sorensen@vandelay.example,Attended,2024-04-16
A9E-05,Archstone 9 Essentials (Relaunch),2024-04-16,VL-1096,zara.oyelaran@vandelay.example,Attended,2024-04-19
