employee_id,first_name,last_name,email,title,level_code,level_band,practice_group,sub_team,office_city,country,region,office_type,work_model,hire_date,tenure_years,joined_after_relaunch,manager_id,manager_name,dms_role,cohort_key
VL-1001,Simon,Rasmussen,simon.rasmussen@vandelay.example,General Counsel,L1,Lawyer - Leadership,Office of the General Counsel,,New York,United States,Americas - US,HQ,Hybrid,2007-11-21,18.8,No,,,Standard,Office of the General Counsel | Lawyer - Leadership
VL-1216,Owen,Whitfield,owen.whitfield@vandelay.example,Executive Assistant,EA,Executive Assistant,Office of the General Counsel,Executive Support,New York,United States,Americas - US,HQ,Office,2025-06-28,1.2,Yes,VL-1001,Simon Rasmussen,Standard,Office of the General Counsel | Executive Assistant
VL-1217,Ruth,Osman,ruth.osman@vandelay.example,Executive Assistant,EA,Executive Assistant,Office of the General Counsel,Executive Support,New York,United States,Americas - US,HQ,Hybrid,2018-05-06,8.3,No,VL-1001,Simon Rasmussen,Standard,Office of the General Counsel | Executive Assistant
VL-1002,Aisha,Villanueva,aisha.villanueva@vandelay.example,"Deputy General Counsel, Commercial & Transactions",L2,Lawyer - Leadership,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2007-06-02,19.3,No,VL-1001,Simon Rasmussen,Standard,Commercial & Transactions | Lawyer - Leadership
VL-1010,Solveig,Ramanathan,solveig.ramanathan@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,London,United Kingdom,EMEA,International office,Hybrid,2019-01-02,7.7,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1011,George,Byrne,george.byrne@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,London,United Kingdom,EMEA,International office,Office,2026-01-02,0.7,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1012,Zainab,Rasmussen,zainab.rasmussen@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,Singapore,Singapore,APAC,International office,Hybrid,2003-10-21,22.9,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1013,Rohan,Okafor,rohan.okafor@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,London,United Kingdom,EMEA,International office,Hybrid,2015-12-28,10.7,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1014,Hao,Krishnan,hao.krishnan@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,Singapore,Singapore,APAC,International office,Hybrid,2019-06-05,7.3,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1015,Bram,Contreras,bram.contreras@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,Atlanta,United States,Americas - US,Regional office,Hybrid,2020-12-22,5.7,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1016,Daniel,Fontaine,daniel.fontaine@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,Houston,United States,Americas - US,Regional office,Hybrid,2025-12-05,0.8,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1017,Lorenzo,Alvarado,lorenzo.alvarado@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Office,2018-10-09,7.9,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1018,Devin,Okoro,devin.okoro@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Office,2007-11-02,18.9,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1019,Miles,Castillo,miles.castillo@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Office,2015-03-16,11.5,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1020,Miles,Wentworth,miles.wentworth@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,Chicago,United States,Americas - US,Regional office,Hybrid,2026-03-15,0.5,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1021,Reuben,Kowalczyk,reuben.kowalczyk@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,Atlanta,United States,Americas - US,Regional office,Office,2023-04-18,3.4,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1022,Kwame,Baptiste,kwame.baptiste@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,San Francisco,United States,Americas - US,Regional office,Remote,2016-04-13,10.4,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1023,Kenji,Karlsson,kenji.karlsson@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2025-11-28,0.8,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1024,Selin,Nakamura,selin.nakamura@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Office,2020-11-26,5.8,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1025,Sienna,Pereira,sienna.pereira@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,Los Angeles,United States,Americas - US,Regional office,Hybrid,2020-10-01,5.9,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1026,Kwame,Duarte,kwame.duarte@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2022-07-28,4.1,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1027,Bram,Ghosh,bram.ghosh@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,San Francisco,United States,Americas - US,Regional office,Hybrid,2024-01-25,2.6,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1028,Renata,Iyer,renata.iyer@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,"Washington, DC",United States,Americas - US,Regional office,Hybrid,2023-10-15,2.9,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1029,Samuel,Novak,samuel.novak@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2026-03-09,0.5,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1030,Camille,Diallo,camille.diallo@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Remote,2011-01-11,15.7,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1031,Henry,Tremblay,henry.tremblay@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2013-12-17,12.7,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1032,Kwame,Delgado,kwame.delgado@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2014-09-09,12,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1033,Tamar,Fontaine,tamar.fontaine@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Office,2013-05-24,13.3,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1034,Victor,Kessler,victor.kessler@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2026-01-11,0.7,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1035,Miles,Mbeki,miles.mbeki@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2018-01-10,8.7,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1036,Simon,Karlsson,simon.karlsson@vandelay.example,Counsel,L4,Lawyer - Mid,Commercial & Transactions,,Houston,United States,Americas - US,Regional office,Hybrid,2006-11-17,19.8,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Mid
VL-1037,Nathan,Novak,nathan.novak@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,Atlanta,United States,Americas - US,Regional office,Hybrid,2025-08-13,1.1,Yes,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1038,Nia,Rutherford,nia.rutherford@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2023-02-13,3.6,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1039,Ruth,Ferrer,ruth.ferrer@vandelay.example,Senior Counsel,L3,Lawyer - Senior,Commercial & Transactions,,Chicago,United States,Americas - US,Regional office,Hybrid,2002-09-13,24,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Senior
VL-1040,Cormac,Abubakar,cormac.abubakar@vandelay.example,Attorney,L5,Lawyer - Junior,Commercial & Transactions,,New York,United States,Americas - US,HQ,Hybrid,2006-03-04,20.5,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Lawyer - Junior
VL-1150,Yara,Oduya,yara.oduya@vandelay.example,Paralegal,P2,Paraprofessional,Commercial & Transactions,Paralegals,New York,United States,Americas - US,HQ,Hybrid,2023-09-23,3,No,VL-1136,Ada Paredes,Standard,Commercial & Transactions | Paraprofessional
VL-1151,Kavya,Sinclair,kavya.sinclair@vandelay.example,Paralegal,P2,Paraprofessional,Commercial & Transactions,Paralegals,"Washington, DC",United States,Americas - US,Regional office,Office,2012-02-24,14.5,No,VL-1136,Ada Paredes,Standard,Commercial & Transactions | Paraprofessional
VL-1152,Ingrid,Larsson,ingrid.larsson@vandelay.example,Paralegal,P2,Paraprofessional,Commercial & Transactions,Paralegals,Chicago,United States,Americas - US,Regional office,Hybrid,2018-05-17,8.3,No,VL-1136,Ada Paredes,Standard,Commercial & Transactions | Paraprofessional
VL-1153,Maya,Adler,maya.adler@vandelay.example,Paralegal,P2,Paraprofessional,Commercial & Transactions,Paralegals,Chicago,United States,Americas - US,Regional office,Hybrid,2025-12-27,0.7,Yes,VL-1136,Ada Paredes,Standard,Commercial & Transactions | Paraprofessional
VL-1154,Declan,Hargreaves,declan.hargreaves@vandelay.example,Paralegal,P2,Paraprofessional,Commercial & Transactions,Paralegals,London,United Kingdom,EMEA,International office,Hybrid,2014-03-28,12.5,No,VL-1136,Ada Paredes,Standard,Commercial & Transactions | Paraprofessional
VL-1164,Daniel,Ellison,daniel.ellison@vandelay.example,Contracts Manager,P1,Paraprofessional - Lead,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2017-11-07,8.8,No,VL-1002,Aisha Villanueva,Standard,Commercial & Transactions | Paraprofessional - Lead
VL-1165,Marcus,Navarro,marcus.navarro@vandelay.example,Senior Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Office,2019-10-22,6.9,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1166,Mei,Rasmussen,mei.rasmussen@vandelay.example,Senior Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,Atlanta,United States,Americas - US,Regional office,Hybrid,2013-11-27,12.8,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1167,Leo,Mbeki,leo.mbeki@vandelay.example,Senior Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,Chicago,United States,Americas - US,Regional office,Remote,2025-01-16,1.6,Yes,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
VL-1168,Benedict,Fairbanks,benedict.fairbanks@vandelay.example,Senior Contract Analyst,P2,Paraprofessional,Commercial & Transactions,Contracts,New York,United States,Americas - US,HQ,Hybrid,2021-12-07,4.8,No,VL-1164,Daniel Ellison,Standard,Commercial & Transactions | Paraprofessional
